"","entry"
"1","Q8IZP0"
"2","Q13085"
"3","O00763"
"4","P68133"
"5","P62736"
"6","P60709"
"7","Q562R1"
"8","P68032"
"9","P63261"
"10","P63267"
"11","O43707"
"12","O95831"
"13","Q12904"
"14","Q02952"
"15","P02768"
"16","Q8TES7"
"17","P04075"
"18","P25705"
"19","P06576"
"20","Q8WWM7"
"21","P12694"
"22","Q07021"
"23","O76075"
"24","P27708"
"25","Q05682"
"26","Q8N163"
"27","P78371"
"28","P49368"
"29","P50991"
"30","P48643"
"31","Q99832"
"32","P50990"
"33","Q07065"
"34","P12277"
"35","Q00610"
"36","P53675"
"37","Q9ULV4"
"38","P46109"
"39","Q7L576"
"40","P14868"
"41","P11182"
"42","Q14203"
"43","Q13561"
"44","Q16531"
"45","Q92841"
"46","Q9NR30"
"47","Q9NY93"
"48","Q9GZR7"
"49","P17844"
"50","P26196"
"51","Q08211"
"52","P10515"
"53","P09622"
"54","P36957"
"55","P31689"
"56","Q99615"
"57","Q02413"
"58","P15924"
"59","P33316"
"60","Q14204"
"61","Q15075"
"62","P68104"
"63","Q5VTE0"
"64","Q05639"
"65","P26641"
"66","P13639"
"67","P56537"
"68","Q14152"
"69","P55884"
"70","Q99613"
"71","B5ME19"
"72","Q13347"
"73","Q04637"
"74","P06733"
"75","P07814"
"76","Q8IUD2"
"77","Q01780"
"78","P49327"
"79","Q5XUX0"
"80","Q5D862"
"81","P21333"
"82","O75369"
"83","Q13283"
"84","P04406"
"85","P06744"
"86","Q9HAV7"
"87","P13807"
"88","Q92522"
"89","P57053"
"90","P40939"
"91","Q16775"
"92","P51610"
"93","P16403"
"94","P16402"
"95","P10412"
"96","P58876"
"97","Q93079"
"98","P62807"
"99","O60814"
"100","Q99880"
"101","Q99879"
"102","Q99877"
"103","Q5QNW6"
"104","P09651"
"105","Q32P51"
"106","P22626"
"107","P51991"
"108","Q99729"
"109","P07910"
"110","Q14103"
"111","P52597"
"112","P31943"
"113","P61978"
"114","P14866"
"115","P52272"
"116","O43390"
"117","Q00839"
"118","Q86YZ3"
"119","P07900"
"120","Q14568"
"121","Q58FG1"
"122","P08238"
"123","Q58FF8"
"124","Q58FF7"
"125","P14625"
"126","P0DMV8"
"127","P0DMV9"
"128","P34931"
"129","P54652"
"130","P34932"
"131","O95757"
"132","P11021"
"133","P17066"
"134","P48741"
"135","P11142"
"136","P38646"
"137","P10809"
"138","Q92598"
"139","Q7Z6Z7"
"140","P41252"
"141","Q9NZI8"
"142","O00425"
"143","Q12905"
"144","Q12906"
"145","P46940"
"146","O14654"
"147","P14923"
"148","Q15046"
"149","Q92945"
"150","P52732"
"151","P52292"
"152","P04264"
"153","P13645"
"154","P13646"
"155","P02533"
"156","P19012"
"157","P08779"
"158","Q04695"
"159","P08727"
"160","P35908"
"161","Q2M2I5"
"162","Q7Z3Z0"
"163","Q7Z3Y8"
"164","Q7Z3Y7"
"165","P12035"
"166","P19013"
"167","P13647"
"168","P02538"
"169","P04259"
"170","P48668"
"171","O95678"
"172","Q01546"
"173","Q7Z794"
"174","Q8N1N4"
"175","Q5XKE5"
"176","P05787"
"177","P35527"
"178","Q6PKG0"
"179","Q9P2J5"
"180","Q08380"
"181","Q3MHD2"
"182","Q9UPN3"
"183","O94854"
"184","P46821"
"185","P56192"
"186","P43243"
"187","Q96RQ3"
"188","Q9HCC0"
"189","P49959"
"190","Q9BQG0"
"191","P35580"
"192","P35749"
"193","P35579"
"194","Q9Y2A7"
"195","P19338"
"196","Q15233"
"197","P06748"
"198","Q08J23"
"199","Q7Z417"
"200","Q14980"
"201","Q8TEM1"
"202","Q02218"
"203","P11940"
"204","Q9H361"
"205","Q13310"
"206","P09874"
"207","P11498"
"208","P05165"
"209","P05166"
"210","P22061"
"211","P08559"
"212","P11177"
"213","P14618"
"214","O00411"
"215","Q6S8J3"
"216","A5A3E0"
"217","P0CG38"
"218","Q9BYX7"
"219","P62937"
"220","Q06830"
"221","P78527"
"222","Q9UMS4"
"223","Q6P2Q9"
"224","P25787"
"225","P60900"
"226","P28074"
"227","P62191"
"228","P35998"
"229","P62195"
"230","Q99460"
"231","Q13200"
"232","O43242"
"233","P55036"
"234","P47897"
"235","P63244"
"236","Q92878"
"237","P49792"
"238","P54136"
"239","P38159"
"240","Q9P258"
"241","P27635"
"242","P62906"
"243","P62913"
"244","P30050"
"245","P26373"
"246","P40429"
"247","P50914"
"248","P61313"
"249","P18621"
"250","Q07020"
"251","Q02543"
"252","P46778"
"253","P62829"
"254","P62750"
"255","P83731"
"256","P61254"
"257","Q9UNX3"
"258","P46779"
"259","P39023"
"260","P62888"
"261","P36578"
"262","P46777"
"263","Q02878"
"264","P18124"
"265","P62424"
"266","P62917"
"267","P32969"
"268","P05388"
"269","Q8NHW5"
"270","P05387"
"271","P62280"
"272","P62277"
"273","P62249"
"274","P62269"
"275","P39019"
"276","P15880"
"277","P62979"
"278","P23396"
"279","P61247"
"280","P62701"
"281","P62753"
"282","P62081"
"283","P62241"
"284","P46781"
"285","P08865"
"286","A0A8I5KQE6"
"287","Q9P2E9"
"288","O76021"
"289","Q9Y265"
"290","Q9Y230"
"291","P06702"
"292","O15027"
"293","Q15459"
"294","O75533"
"295","Q13435"
"296","Q15393"
"297","P23246"
"298","P05141"
"299","P12236"
"300","P51532"
"301","O95347"
"302","Q9NTJ3"
"303","O75643"
"304","Q13813"
"305","Q01082"
"306","Q9UQ35"
"307","Q07955"
"308","P31948"
"309","O60506"
"310","P37802"
"311","O60343"
"312","Q13428"
"313","P17987"
"314","Q12888"
"315","P60174"
"316","P12270"
"317","Q13263"
"318","Q2NL82"
"319","Q71U36"
"320","P68363"
"321","Q9BQE3"
"322","P0DPH7"
"323","P0DPH8"
"324","Q6PEY2"
"325","P68366"
"326","Q9NY65"
"327","P07437"
"328","Q9H4B7"
"329","Q13885"
"330","Q9BVA1"
"331","Q13509"
"332","P04350"
"333","P68371"
"334","Q9BUF5"
"335","Q3ZCM7"
"336","P49411"
"337","P62987"
"338","P0CG47"
"339","P0CG48"
"340","Q5T4S7"
"341","P26640"
"342","P55072"
"343","P08670"
"344","P12956"
"345","P67809"
"346","P16989"
"347","P62258"
